Happiness_ID;Country_ID;Year;Happiness;Log_GDP_Per_Capita;Social_Support;Life_Expectancy;Freedom;Generosity;Corruption
87;129;2014;7.444;11.048;0.941;71.0;0.956;0.173;0.405
88;129;2018;7.444;11.077;0.966;71.35;0.96;0.086;0.268
89;35;2013;7.443;9.844;0.759;65.52;0.739;-0.171;0.615
90;129;2019;7.442;11.082;0.942;71.4;0.954;0.103;0.271
91;127;2021;7.439;10.893;0.932;72.15;0.953;0.172;0.191
92;127;2013;7.434;10.789;0.916;71.32;0.936;0.154;0.324
93;53;2011;7.433;10.48;0.893;71.48;0.722;0.136;0.891
94;34;2007;7.432;9.672;0.918;68.72;0.923;0.089;0.82
95;127;2022;7.431;10.912;0.949;72.275;0.939;0.232;0.213
96;72;2011;7.426;10.733;0.922;70.86;0.951;0.247;0.433
97;128;2019;7.425;10.947;0.941;71.4;0.886;0.207;0.36
98;124;2012;7.42;10.735;0.928;70.04;0.921;-0.007;0.361
99;72;2005;7.418;10.707;0.962;70.5;0.957;0.246;0.503
100;71;2015;7.418;10.622;0.987;69.9;0.942;0.322;0.186
101;129;2006;7.416;11.056;0.959;69.4;0.96;0.101;0.397
102;72;2012;7.415;10.739;0.948;70.92;0.918;0.284;0.466
103;72;2017;7.415;10.786;0.934;71.2;0.945;0.157;0.362
104;72;2015;7.413;10.769;0.939;71.1;0.931;0.247;0.427
105;128;2013;7.407;10.852;0.925;71.02;0.919;0.299;0.505
106;70;2011;7.406;10.723;0.967;70.28;0.945;0.364;0.382
107;130;2019;7.404;11.649;0.912;71.6;0.93;-0.051;0.39
108;132;2012;7.401;10.884;0.945;70.1;0.92;0.112;0.771
109;53;2014;7.401;10.531;0.889;71.72;0.707;0.088;0.818
110;127;2019;7.398;10.875;0.934;71.9;0.942;0.085;0.25
111;132;2018;7.396;10.919;0.912;70.775;0.904;0.048;0.523
112;124;2010;7.393;10.734;0.935;69.6;0.916;0.085;0.413
113;128;2022;7.39;10.978;0.929;71.625;0.868;0.223;0.459
114;124;2014;7.385;10.714;0.952;70.48;0.933;-0.007;0.265
115;34;2023;7.384;10.021;0.875;70.0;0.933;-0.067;0.767
116;127;2011;7.382;10.799;0.921;71.24;0.941;0.156;0.269
117;71;2008;7.381;10.541;0.944;69.76;0.893;0.291;0.334
118;127;2005;7.376;10.724;0.951;71.0;0.964;0.0;0.744
119;127;2018;7.375;10.866;0.931;71.775;0.942;0.072;0.263
120;71;2018;7.37;10.667;0.954;70.125;0.949;0.113;0.207
121;127;2016;7.369;10.846;0.912;71.525;0.918;0.141;0.246
122;70;2013;7.364;10.752;0.928;70.44;0.933;0.263;0.432
123;129;2021;7.362;11.096;0.948;71.5;0.936;0.166;0.263
124;53;2010;7.359;10.444;0.882;71.4;0.561;0.145;0.902
125;124;2011;7.354;10.754;0.938;69.82;0.936;0.095;0.32
126;53;2009;7.353;10.408;0.937;71.32;0.593;0.167;0.923
127;127;2024;7.249299319956394;10.775147591779197;0.9423859040810366;71.69847064970064;0.9368990789097847;0.16261069807222187;0.22321887553687036
128;70;2005;7.341;10.662;0.968;69.8;0.935;0.0;0.39
129;53;2024;7.246440016704995;10.573106935064736;0.946626994707771;72.32781763768574;0.7707764489388567;0.013514090727931471;0.693045654373272
130;53;2019;7.332;10.625;0.946;72.4;0.834;0.078;0.743
131;53;2017;7.331;10.583;0.916;72.1;0.768;0.138;0.793
132;131;2021;7.328;11.158;0.934;72.9;0.908;0.024;0.287
133;71;2017;7.327;10.65;0.955;70.05;0.942;0.287;0.222
134;128;2015;7.324;10.878;0.879;71.1;0.904;0.256;0.412
135;53;2013;7.321;10.512;0.909;71.64;0.739;0.145;0.849
136;128;2014;7.321;10.863;0.909;71.06;0.91;0.326;0.457
137;39;2010;7.321;10.01;0.928;67.5;0.755;-0.017;0.88
138;35;2012;7.32;9.844;0.767;65.38;0.788;-0.099;0.633
139;128;2024;7.225471792861407;10.837106726504965;0.92860235954415;70.9904552882174;0.8416104637487956;0.21961822440974466;0.4389701455765473
140;128;2021;7.314;10.944;0.919;71.55;0.856;0.266;0.397
141;127;2020;7.314;10.846;0.936;72.025;0.951;0.084;0.203
142;136;2020;7.312;10.856;0.905;71.1;0.864;-0.068;0.424
143;70;2015;7.309;10.77;0.952;70.6;0.922;0.327;0.357
144;71;2014;7.306;10.605;0.942;69.88;0.932;0.341;0.273
145;71;2006;7.305;10.541;0.946;69.72;0.932;0.304;0.224
146;72;2014;7.304;10.77;0.918;71.04;0.939;0.264;0.442
147;132;2010;7.303;10.856;0.914;69.9;0.896;0.125;0.546
148;129;2024;7.209269074436817;10.9744943730708;0.9480406915833491;70.91178691471926;0.9343692926665726;0.16918848957270527;0.27999552554731166
149;129;2022;7.295;11.119;0.927;71.55;0.939;0.182;0.314
150;132;2017;7.294;10.9;0.906;70.65;0.89;0.128;0.518
151;138;2008;7.294;10.577;0.948;70.76;0.834;-0.155;0.683
152;129;2020;7.29;11.063;0.956;71.45;0.965;0.068;0.271
153;70;2014;7.289;10.763;0.924;70.52;0.923;0.313;0.442
154;127;2015;7.289;10.838;0.929;71.4;0.935;0.206;0.232
155;127;2017;7.287;10.858;0.914;71.65;0.935;0.165;0.239
156;70;2007;7.285;10.694;0.965;69.96;0.891;0.342;0.513
157;71;2013;7.28;10.585;0.958;69.86;0.944;0.23;0.312
158;73;2008;7.28;10.923;0.953;66.74;0.878;0.249;0.668
159;34;2012;7.272;9.788;0.902;69.52;0.929;0.037;0.794
160;34;2010;7.271;9.721;0.915;69.2;0.881;0.038;0.763
161;56;2007;7.267;10.646;0.892;61.6;0.622;0.002;0.744
162;127;2009;7.266;10.725;0.903;71.16;0.864;0.216;0.292
163;133;2005;7.262;10.744;0.935;68.4;0.924;0.0;0.598
164;53;2008;7.261;10.423;0.859;71.24;0.663;0.134;0.898
165;70;2017;7.257;10.787;0.95;70.75;0.911;0.312;0.411
166;134;2010;7.257;10.89;0.973;70.1;0.856;0.341;0.618
167;71;2020;7.257;10.647;0.952;70.275;0.918;0.116;0.283
168;134;2019;7.255;11.373;0.944;71.1;0.892;0.067;0.373
169;128;2023;7.255;10.977;0.915;71.7;0.847;0.223;0.424
170;70;2008;7.254;10.709;0.947;70.04;0.916;0.3;0.431
171;70;2016;7.25;10.781;0.942;70.675;0.922;0.233;0.399
172;71;2012;7.25;10.565;0.93;69.84;0.902;0.28;0.289
173;129;2023;7.249;11.125;0.952;71.6;0.938;0.219;0.245
174;73;2013;7.249;10.941;0.925;66.64;0.792;0.268;0.747
175;39;2011;7.248;10.099;0.876;67.66;0.829;0.0;0.84
176;34;2014;7.247;9.824;0.914;69.84;0.927;0.0;0.788
177;72;2016;7.245;10.768;0.924;71.15;0.912;0.205;0.385
178;130;2018;7.243;11.645;0.902;71.575;0.884;-0.028;0.385
179;127;2007;7.241;10.791;0.917;71.08;0.91;0.141;0.289
180;127;2014;7.239;10.805;0.933;71.36;0.945;0.197;0.25
181;70;2019;7.234;10.807;0.943;70.9;0.918;0.115;0.43
182;135;2018;7.233;10.75;0.928;70.0;0.838;0.22;0.404
183;34;2011;7.229;9.752;0.892;69.36;0.926;-0.042;0.837
184;130;2022;7.228;11.657;0.878;71.675;0.915;0.023;0.345
185;71;2016;7.226;10.637;0.937;69.975;0.927;0.259;0.278
186;34;2017;7.225;9.912;0.922;70.0;0.936;-0.086;0.742
187;71;2010;7.224;10.534;0.976;69.8;0.918;0.247;0.321
188;133;2007;7.219;10.791;0.922;68.72;0.901;0.064;0.721
189;55;2012;7.218;11.001;0.856;65.22;0.92;0.0;0.744
190;132;2020;7.213;10.859;0.925;71.025;0.912;0.004;0.464
191;71;2019;7.205;10.675;0.939;70.2;0.912;0.15;0.234
192;70;2012;7.196;10.744;0.945;70.36;0.935;0.268;0.368
193;132;2019;7.195;10.93;0.964;70.9;0.903;0.054;0.457
194;53;2020;7.195;10.589;0.959;72.55;0.831;-0.059;0.748
195;71;2011;7.191;10.548;0.954;69.82;0.935;0.278;0.269
196;52;2009;7.189;9.567;0.945;65.34;0.677;-0.124;0.828
197;73;2006;7.182;10.921;0.965;66.78;0.911;0.0;0.6
198;132;2008;7.181;10.881;0.935;69.7;0.879;0.286;0.614
199;70;2018;7.177;10.801;0.94;70.825;0.916;0.141;0.405
200;72;2018;7.175;10.799;0.923;71.25;0.946;0.1;0.372
201;53;2006;7.173;10.368;0.927;71.08;0.817;0.0;0.905
202;52;2005;7.17;9.316;0.955;65.5;0.838;0.0;0.72
203;73;2010;7.164;10.906;0.926;66.7;0.828;0.238;0.69
204;127;2023;7.161;10.902;0.927;72.4;0.926;0.147;0.253
205;53;2016;7.159;10.56;0.89;71.95;0.772;0.147;0.804
206;34;2013;7.158;9.801;0.902;69.68;0.898;0.009;0.813
207;73;2009;7.158;10.888;0.912;66.72;0.831;0.195;0.665
208;135;2019;7.157;10.76;0.943;70.1;0.854;0.264;0.485
209;138;2005;7.153;10.544;0.961;70.4;0.916;0.0;0.777
210;73;2014;7.151;10.956;0.902;66.62;0.866;0.215;0.702
211;134;2006;7.144;10.985;0.967;69.62;0.943;0.235;0.473
212;34;2018;7.141;9.928;0.876;70.0;0.942;-0.117;0.781
213;42;2013;7.14;9.665;0.91;64.38;0.785;-0.1;0.707
214;70;2020;7.137;10.794;0.937;70.975;0.905;0.202;0.491
215;71;2021;7.137;10.693;0.95;70.35;0.91;0.216;0.252
216;34;2016;7.136;9.881;0.901;70.0;0.873;-0.042;0.781
217;130;2013;7.131;11.636;0.917;71.1;0.79;-0.065;0.301
218;54;2023;7.13;10.812;0.89;70.0;0.898;0.136;0.744
219;132;2006;7.122;10.836;0.936;69.5;0.941;0.297;0.49
220;130;2024;7.0377108793529155;11.48363682799124;0.8907859681224356;71.06912366171554;0.9056983819101689;-0.0018340894398631413;0.35380517056088545
221;55;2011;7.119;10.965;0.881;65.16;0.889;0.063;0.744
222;136;2018;7.118;10.886;0.92;70.7;0.877;0.028;0.496
223;133;2008;7.117;10.788;0.923;68.88;0.887;0.001;0.652
224;73;2011;7.115;10.914;0.922;66.68;0.863;0.155;0.697
225;70;2021;7.112;10.815;0.92;71.05;0.912;0.234;0.454
226;133;2011;7.111;10.782;0.937;69.36;0.88;-0.02;0.711
227;53;2012;7.111;10.487;0.903;71.56;0.681;0.147;0.862
228;72;2019;7.109;10.803;0.925;71.3;0.912;0.105;0.436
229;133;2013;7.104;10.783;0.909;69.68;0.891;0.011;0.574
230;135;2017;7.103;10.739;0.937;69.9;0.813;0.285;0.419
231;130;2011;7.101;11.635;0.934;70.7;0.962;0.097;0.388
232;57;2019;7.098;10.815;0.878;65.9;0.907;0.035;0.744
233;130;2010;7.097;11.647;0.952;70.5;0.908;0.086;0.423
234;55;2010;7.097;10.909;0.912;65.1;0.878;0.051;0.355
235;137;2005;7.093;10.637;0.94;70.7;0.895;0.0;0.688
236;34;2006;7.082;9.607;0.937;68.56;0.882;0.052;0.798
237;132;2021;7.08;10.899;0.863;71.15;0.795;0.158;0.501
238;56;2005;7.08;10.679;0.868;61.2;0.75;0.0;0.505
239;53;2015;7.079;10.536;0.864;71.8;0.753;0.103;0.789
240;34;2022;7.077;9.998;0.902;70.0;0.91;-0.049;0.751
241;132;2015;7.076;10.876;0.928;70.4;0.9;0.093;0.557
242;136;2017;7.074;10.879;0.892;70.5;0.841;0.139;0.414
243;52;2012;7.067;9.862;0.932;65.22;0.804;-0.201;0.743
244;80;2014;7.062;11.382;0.822;73.02;0.835;0.148;0.133
245;130;2017;7.061;11.653;0.905;71.55;0.903;0.036;0.33
246;134;2017;7.06;11.264;0.943;70.9;0.905;0.21;0.337
247;131;2024;6.978618612157349;11.02298413068227;0.9155256634450526;72.60315694492922;0.8702813745051994;0.05736603406448744;0.26012369804365715
248;70;2024;6.9757593089059515;10.71049458163057;0.9282489353252555;70.43977667373044;0.8677515882619873;0.17138108673953306;0.508521541839338
249;132;2016;7.048;10.885;0.926;70.525;0.889;0.074;0.524
250;134;2009;7.046;10.879;0.959;69.98;0.835;0.308;0.58
251;134;2016;7.041;11.189;0.958;70.8;0.875;0.169;0.399
252;55;2017;7.039;11.173;0.836;65.7;0.962;0.206;0.744
253;42;2011;7.038;9.634;0.916;64.06;0.834;-0.078;0.662
254;2;2022;7.038;10.586;0.937;67.75;0.71;-0.192;0.685
255;35;2022;7.038;9.881;0.858;65.8;0.861;-0.123;0.78
256;136;2015;7.037;10.843;0.926;70.1;0.889;0.172;0.412
257;70;2022;7.035;10.84;0.942;71.125;0.854;0.153;0.545
258;136;2019;7.035;10.894;0.886;70.9;0.885;0.051;0.462
259;134;2020;7.035;11.423;0.96;71.2;0.882;0.0;0.356
260;1;2018;7.034;10.595;0.929;68.675;0.79;-0.299;0.851
261;39;2009;7.034;9.971;0.905;67.34;0.721;0.006;0.889
262;135;2010;7.029;10.646;0.955;69.4;0.841;0.397;0.587
263;71;2024;6.949072478559566;10.591964063024752;0.9515749337722944;69.69242712549813;0.8593189674512802;0.17357368390636088;0.28567319054835577
264;73;2020;7.028;11.005;0.937;65.975;0.85;0.028;0.678
265;73;2012;7.026;10.929;0.903;66.66;0.823;0.208;0.71
266;70;2023;7.025;10.846;0.896;71.2;0.876;0.187;0.482
267;72;2020;7.025;10.74;0.931;71.35;0.887;0.043;0.434
268;134;2014;7.018;10.971;0.968;70.58;0.922;0.257;0.406
269;130;2023;7.016;11.649;0.879;71.7;0.911;0.033;0.343
270;137;2008;7.008;10.669;0.935;71.0;0.833;-0.037;0.669
271;134;2011;7.007;10.894;0.977;70.22;0.952;0.376;0.59
272;35;2023;7.006;9.9;0.868;65.8;0.87;-0.124;0.756
273;42;2009;7.001;9.541;0.913;63.74;0.767;-0.061;0.723
274;132;2022;6.999;10.938;0.876;71.275;0.856;0.137;0.524
275;34;2019;6.998;9.944;0.906;70.0;0.927;-0.156;0.836
276;138;2007;6.995;10.585;0.957;70.64;0.782;-0.099;0.784
277;73;2017;6.992;11.001;0.921;66.35;0.868;0.191;0.681
278;135;2008;6.986;10.684;0.954;69.28;0.759;0.325;0.548
279;83;2014;6.985;9.649;0.933;67.82;0.9;0.548;0.92
280;136;2014;6.984;10.837;0.938;70.08;0.899;0.082;0.474
281;135;2005;6.984;10.661;0.979;69.1;0.922;0.0;0.398
282;42;2014;6.981;9.661;0.898;64.54;0.714;-0.121;0.71
283;71;2023;6.976;10.72;0.933;70.5;0.877;0.181;0.304
284;71;2022;6.975;10.712;0.956;70.425;0.831;0.183;0.281
285;131;2023;6.969;11.169;0.904;73.3;0.891;0.104;0.247
286;130;2016;6.967;11.664;0.941;71.525;0.882;0.011;0.356
287;136;2013;6.965;10.819;0.931;70.06;0.894;0.018;0.566
288;134;2012;6.965;10.89;0.962;70.34;0.902;0.295;0.573
289;130;2012;6.964;11.627;0.914;70.9;0.917;0.048;0.403
290;35;2009;6.963;9.764;0.868;64.96;0.682;-0.082;0.764
291;134;2018;6.962;11.334;0.938;71.0;0.861;0.138;0.362
292;137;2011;6.959;10.666;0.921;71.3;0.903;-0.108;0.627
293;73;2021;6.959;11.061;0.92;65.85;0.816;0.188;0.687
294;130;2009;6.958;11.628;0.939;70.3;0.939;0.116;0.432
295;34;2024;6.878542998358407;9.921189082732743;0.897147604062537;69.2204168845093;0.9023253335858861;-0.0829601846124917;0.7924047918915444
296;56;2023;6.953;10.829;0.884;64.8;0.75;0.028;0.744
297;54;2024;6.874730594023209;10.686249702824835;0.8939667860924864;69.2204168845093;0.927623196018007;0.11656615756883809;0.722853395628754
298;132;2014;6.95;10.877;0.899;70.3;0.885;0.112;0.567
299;133;2016;6.949;10.816;0.929;70.15;0.866;-0.062;0.497
300;30;2011;6.947;10.474;0.809;71.12;0.682;-0.054;0.827
301;133;2023;6.944;10.883;0.896;71.2;0.87;0.065;0.522
302;73;2019;6.944;11.042;0.917;66.1;0.836;0.138;0.707
303;1;2021;6.942;10.615;0.95;69.05;0.891;0.157;0.863
304;72;2021;6.939;10.783;0.926;71.4;0.898;0.189;0.384
305;133;2012;6.935;10.783;0.927;69.52;0.855;-0.056;0.758
306;39;2008;6.931;9.977;0.922;67.18;0.707;0.051;0.881
307;133;2017;6.928;10.829;0.922;70.3;0.857;0.049;0.543
308;53;2018;6.927;10.603;0.91;72.25;0.725;0.048;0.77
309;72;2022;6.918;10.799;0.929;71.45;0.838;0.22;0.442
310;135;2013;6.918;10.668;0.937;69.58;0.905;0.341;0.568
311;139;2018;6.91;10.705;0.932;71.45;0.927;0.17;0.595
312;35;2011;6.91;9.822;0.824;65.24;0.831;-0.106;0.698
313;135;2009;6.907;10.63;0.964;69.34;0.816;0.336;0.559
314;132;2024;6.830887944168435;10.794004719739213;0.8840709079634396;70.59711342072671;0.8230586979652401;0.14726251790442726;0.5340710343440366
315;133;2015;6.904;10.809;0.885;70.0;0.869;0.056;0.469
316;72;2024;6.8261224387494375;10.672780325710537;0.9275420868874665;70.79378435447205;0.845826774154149;0.18234407257367208;0.44464781057759145
317;1;2020;6.897;10.562;0.964;68.925;0.906;-0.135;0.884
318;39;2007;6.894;9.901;0.937;67.02;0.64;0.074;0.915
319;133;2024;6.82040383224664;10.748208837550603;0.9208270267284704;70.36110830023229;0.8449835120730783;0.0507882425640041;0.5255545368424703
320;133;2018;6.892;10.842;0.93;70.45;0.808;-0.13;0.63
321;130;2014;6.891;11.638;0.875;71.3;0.938;0.097;0.366
322;126;2008;6.888;10.878;0.977;71.2;0.885;0.265;0.708
323;131;2022;6.884;11.17;0.881;73.1;0.848;0.128;0.235
324;73;2018;6.883;11.024;0.904;66.225;0.825;0.11;0.71
325;133;2021;6.882;10.856;0.915;70.9;0.823;0.077;0.523
326;135;2012;6.881;10.656;0.935;69.52;0.889;0.366;0.425
327;4;2023;6.878;9.48;0.807;63.402;0.9;0.285;0.811
328;136;2016;6.874;10.857;0.906;70.3;0.871;0.142;0.446
329;134;2022;6.87;11.643;0.906;71.4;0.895;0.138;0.358
330;135;2011;6.869;10.649;0.949;69.46;0.9;0.331;0.438
331;135;2021;6.867;10.713;0.854;70.3;0.815;0.252;0.448
332;39;2013;6.866;10.224;0.896;67.98;0.811;0.01;0.814
333;55;2009;6.866;10.952;0.885;65.04;0.849;0.015;0.339
334;2;2021;6.865;10.579;0.928;67.4;0.707;-0.121;0.878
335;73;2015;6.864;10.975;0.904;66.6;0.849;0.213;0.698
336;39;2012;6.86;10.174;0.897;67.82;0.783;-0.011;0.796
337;133;2022;6.857;10.881;0.923;71.05;0.89;0.095;0.483
338;133;2014;6.855;10.794;0.944;69.84;0.861;-0.005;0.512
339;133;2010;6.854;10.778;0.931;69.2;0.807;0.016;0.697
340;34;2015;6.854;9.85;0.878;70.0;0.907;-0.068;0.761
341;140;2005;6.854;10.698;0.928;70.6;0.802;0.0;0.944
342;34;2008;6.851;9.704;0.916;68.88;0.912;0.087;0.816
343;38;2014;6.844;10.094;0.862;69.22;0.733;0.209;0.758
344;72;2023;6.841;10.794;0.902;71.5;0.847;0.196;0.468
345;53;2007;6.841;10.408;0.868;71.16;0.683;0.215;0.868
346;133;2020;6.839;10.799;0.904;70.75;0.767;-0.172;0.634
347;37;2009;6.839;8.894;0.734;64.58;0.671;-0.11;0.648
348;134;2024;6.767030171553872;11.451310322916925;0.903155815783744;70.75445016772298;0.8694381124241287;0.12752914340297702;0.3736769980645399
349;42;2010;6.837;9.604;0.906;63.9;0.806;-0.059;0.656
350;80;2007;6.834;11.213;0.921;71.76;0.867;0.287;0.064
351;141;2009;6.833;10.559;0.812;70.64;0.775;0.048;0.801
352;55;2016;6.831;11.174;0.849;65.55;0.949;0.12;0.744
353;134;2015;6.83;11.18;0.953;70.7;0.892;0.226;0.409
354;35;2008;6.829;9.83;0.876;64.82;0.677;-0.134;0.785
355;134;2021;6.828;11.54;0.85;71.3;0.846;0.131;0.36
356;1;2023;6.827;10.639;0.927;69.3;0.906;0.025;0.832
357;35;2016;6.824;9.895;0.893;65.8;0.752;-0.16;0.809
358;135;2016;6.824;10.721;0.954;69.8;0.821;0.244;0.458
359;1;2024;6.75178055421308;10.519229426607547;0.945920146269982;68.31573058928072;0.893892712775179;0.06613642273179866;0.8704726856559012
360;2;2024;6.747968149877882;10.473433544418937;0.9257749657929939;66.74236311931796;0.679704144183221;-0.2254790004562987;0.8023407056433717
361;134;2023;6.817;11.676;0.921;71.5;0.903;0.182;0.373
362;56;2008;6.811;10.668;0.823;61.8;0.532;-0.024;0.508
363;73;2016;6.804;10.985;0.897;66.475;0.758;0.138;0.739
364;35;2010;6.802;9.8;0.876;65.1;0.778;-0.055;0.693
365;135;2007;6.802;10.693;0.97;69.22;0.838;0.331;0.498
366;137;2010;6.798;10.649;0.943;71.2;0.85;-0.109;0.623
367;54;2010;6.798;10.998;0.893;69.2;0.703;-0.039;0.486
368;135;2020;6.798;10.639;0.929;70.2;0.885;0.196;0.49
369;136;2023;6.792;10.878;0.895;71.7;0.845;0.106;0.46
370;1;2017;6.79;10.567;0.901;68.55;0.832;-0.183;0.867
371;5;2020;6.785;10.277;0.869;66.925;0.863;-0.161;0.918
372;53;2023;6.783;10.707;0.952;73.0;0.797;0.146;0.636
373;140;2008;6.78;10.706;0.88;70.9;0.543;0.044;0.946
374;43;2011;6.776;10.112;0.889;66.42;0.816;-0.18;0.755
375;133;2019;6.772;10.859;0.884;70.6;0.776;-0.178;0.672
376;3;2021;6.761;10.598;0.955;71.05;0.851;0.026;0.754
